Open,High,Low,Close,Adj Close,Volume,BB_H_indicator,BB_l_indicator,BB_MA_indicator,RSI,Stoch,MACD,EMA_ind,EMA,Ichi,MA7,MA21,log_momentum
9.138929,9.275,9.103571,9.1875,7.844584,448210000,9.473419604252918,8.760401695747081,9.11691065,54.82634850874625,0.5528553140212832,0.08885527234944846,9.184023001589528,9.211010812143037,9.028393000000001,9.278775428571427,9.105357095238096,2.1026086009613705
9.301429,9.378214,9.272143,9.351786,7.984853,428055600,9.48643544806426,8.800635851935741,9.14353565,61.17546444892834,0.7542089262059409,0.09565620361556704,9.209832693652679,9.304860937384005,9.028393000000001,9.293214285714285,9.128095190476191,2.1224754082066544
9.321786,9.402143,9.265,9.354643,7.987293,417653600,9.49941426667208,8.83515703332792,9.16728565,61.27739093228107,0.7574413865663614,0.10012237821306158,9.232111202321498,9.338048979128352,9.028393000000001,9.303367428571429,9.153588380952382,2.122817432229604
9.387143,9.438571,9.296786,9.392143,8.01931,420375200,9.520204457394707,8.829759742605292,9.1749821,62.662954425560066,0.8013826560141701,0.1054719750833133,9.25673147888742,9.374111659709579,9.028393000000001,9.322244999999999,9.177993142857142,2.127295910986948
9.3475,9.399286,9.305357,9.346429,7.980278,289097200,9.534315929647656,8.828541170352343,9.18142855,59.851447743854585,0.7122195297811241,0.10481459399780313,9.270531097520125,9.355656553236503,9.028393000000001,9.310102142857144,9.183146238095238,2.121833782717489
9.277857,9.338929,9.201071,9.288929,7.931184,444897600,9.536092852054558,8.828442847945439,9.182267849999999,56.4223286888126,0.24864716188932706,0.0985181889422293,9.27336154405549,9.311171517745484,9.028393000000001,9.30566342857143,9.18654761904762,2.1149207690038785
9.338571,9.3625,9.270357,9.348214,7.981801,303128000,9.551392958514262,8.829071241485737,9.1902321,59.02877348803286,0.29805613311610346,0.09719168140362022,9.284877306508491,9.335866505915165,9.028393000000001,9.324234857142857,9.190170047619048,2.122047623768993
9.280357,9.301786,9.198214,9.264643,7.910446,451920000,9.554555629599221,8.85308717040078,9.2038214,54.115181507329744,0.0,0.0883781648830162,9.281764336276416,9.288384168638386,9.028393000000001,9.335255285714286,9.193775476190476,2.111986536147714
9.121429,9.131786,8.921786,8.935357,7.629294,620054400,9.56126331724731,8.837308082752692,9.1992857,39.990119000984166,0.0,0.05419800048786527,9.228470899926197,9.05303272287946,9.028393000000001,9.275765428571429,9.19103738095238,2.071328343514532
8.810357,9.039286,8.79,8.9925,7.678084,534920400,9.56043748090124,8.839348219098763,9.199892850000001,42.78127364518182,0.0964606852982921,0.03135944433226001,9.192167684552937,9.012677574293152,9.028393000000001,9.224030714285714,9.189438761904762,2.0785036019518595
8.9875,8.995714,8.896071,8.896429,7.596056,354869200,9.563552116431115,8.833376483568884,9.1984643,39.45839481190387,0.0,0.0054448325940228415,9.146669425390947,8.935178524764384,9.028393000000001,9.15321442857143,9.18544219047619,2.0664106319622793
8.842143,8.928929,8.807857,8.844286,7.551534,318430000,9.551040270472692,8.853245529527308,9.2021429,37.74480690062276,0.0,-0.019080243070908054,9.100148898407724,8.874583508254794,9.028393000000001,9.081479714285715,9.181598666666666,2.0597853686587055
8.931429,9.093929,8.9,8.998929,7.683574,422640400,9.550847624756871,8.85372397524313,9.2022858,45.327980946728054,0.3043233466097866,-0.025741413542625935,9.084576606344998,8.957480502751599,9.028393000000001,9.040051142857143,9.192466047619048,2.0793076577177785
9.012857,9.095357,8.985,9.038214,7.717115,339696000,9.552149668354257,8.848243331645744,9.2001965,47.09111456703003,0.37508035687860736,-0.027533083700893357,9.077443897676536,9.011302834250534,9.028393000000001,8.995765428571428,9.194472857142857,2.084206919210803
9.03,9.052857,8.881429,8.924286,7.61984,426706000,9.554712527403922,8.813037672596078,9.1838751,42.78216625575372,0.2021562537941365,-0.037711320050521024,9.053881144187839,8.953291611416844,9.028393000000001,8.947143,9.187057904761906,2.0699322210673547
8.906786,9.068571,8.892857,8.915714,7.612523,384230000,9.550918925025028,8.780045574974972,9.16548225,42.467302002406235,0.18952031233691619,-0.04593976938370048,9.032624660466633,8.92823987047228,9.028393000000001,8.944336857142856,9.171105523809523,2.0688498977293763
8.9925,9.0,8.758929,8.778571,7.495423,414041600,9.559019508836679,8.72380209116332,9.1414108,37.68824053716629,0.0,-0.06280321237256103,8.993539481933304,8.828460623490761,9.028393000000001,8.913775571428571,9.147057904761905,2.051372645227236
8.666786,8.678571,8.523214,8.568929,7.316425,602565600,9.562702576394049,8.633869023605953,9.098285800000001,31.797495886238437,0.0,-0.09202318380403085,8.928214792405104,8.655439541163588,9.011428500000001,8.866989857142856,9.114149761904763,2.024051577915747
8.501429,8.713929,8.471429,8.674643,7.406689,596867600,9.55344106467942,8.578594835320578,9.066017949999999,37.13357198636725,0.19595393863478477,-0.1054346009220879,8.889203747419703,8.66824184705453,8.985536,8.842755142857143,9.078112333333333,2.03792177773344
8.766071,8.776786,8.581429,8.581429,7.327098,466505200,9.55940141840319,8.50895598159681,9.0341787,34.565551373661435,0.10164985748742818,-0.12217646218641143,8.841853786278211,8.610366615684844,8.985536,8.783112285714285,9.042942285714286,2.025701704313601
8.633929,8.664643,8.412857,8.629286,7.367958,548391200,9.554746815201462,8.45778918479854,9.006268,36.975405995749334,0.23200927719035158,-0.13008332828026603,8.809151049927717,8.622979538561616,8.95625,8.724694000000001,9.014898095238095,2.031994262936022
