Date,Open,High,Low,Close,Adj Close,Volume
8/13/2010,6.303,6.374,6.213,6.2345,6.2345,79532000
8/16/2010,6.1805,6.3685,6.152,6.3035,6.3035,80494000
8/17/2010,6.367,6.499,6.3395,6.443,6.443,100894000
8/18/2010,6.4625,6.5405,6.413,6.4825,6.4825,158030000
8/19/2010,6.461,6.501,6.341,6.3785,6.3785,111650000
8/20/2010,6.36,6.402,6.301,6.388,6.388,83402000
8/23/2010,6.393,6.461,6.325,6.33,6.33,77226000
8/24/2010,6.2705,6.272,6.159,6.2265,6.2265,107394000
8/25/2010,6.1925,6.3685,6.1915,6.3425,6.3425,106890000
8/26/2010,6.3575,6.3795,6.241,6.243,6.243,93890000
8/27/2010,6.273,6.332,6.1125,6.332,6.332,101600000
8/30/2010,6.3015,6.3475,6.1845,6.1895,6.1895,68520000
8/31/2010,6.1425,6.295,6.125,6.2415,6.2415,84512000
9/1/2010,6.318,6.63,6.3085,6.6245,6.6245,142766000
9/2/2010,6.6085,6.7605,6.6025,6.7605,6.7605,108148000
9/3/2010,6.8445,6.975,6.8315,6.9395,6.9395,131624000
9/7/2010,6.878,6.93,6.8445,6.861,6.861,77660000
9/8/2010,6.8965,6.985,6.8225,6.957,6.957,116570000
9/9/2010,7.0195,7.0685,6.963,7.019,7.019,99160000
9/10/2010,7.0375,7.13,7.002,7.122,7.122,100872000
9/13/2010,7.2035,7.287,7.188,7.2535,7.2535,101548000
9/14/2010,7.225,7.335,7.1915,7.2875,7.2875,86388000
9/15/2010,7.244,7.281,7.178,7.2725,7.2725,98072000
9/16/2010,7.27,7.4115,7.258,7.4065,7.4065,116540000
9/17/2010,7.445,7.449,7.325,7.416,7.416,145192000
9/20/2010,7.435,7.5975,7.3675,7.565,7.565,128988000
9/21/2010,7.538,7.6655,7.48,7.5365,7.5365,150840000
9/22/2010,7.492,7.635,7.455,7.5915,7.5915,132248000
9/23/2010,7.56,7.796,7.5485,7.6425,7.6425,141312000
9/24/2010,7.7715,8.0445,7.771,8.0365,8.0365,211812000
9/27/2010,8.011,8.06,7.894,7.9685,7.9685,128926000
9/28/2010,7.992,8.044,7.7445,7.985,7.985,169884000
9/29/2010,7.9515,8.089,7.8875,7.9495,7.9495,145750000
9/30/2010,8.0005,8.0465,7.78,7.853,7.853,152120000
10/1/2010,7.854,7.872,7.61,7.6855,7.6855,173668000
10/4/2010,7.6975,7.798,7.6395,7.7695,7.7695,106930000
10/5/2010,7.854,8.0605,7.8505,8.0435,8.0435,112400000
10/6/2010,8.03,8.034,7.73,7.77,7.77,121216000
10/7/2010,7.8255,7.87,7.6695,7.8135,7.8135,92440000
10/8/2010,7.759,7.814,7.639,7.7775,7.7775,138368000
10/11/2010,7.7445,7.8315,7.617,7.6515,7.6515,89728000
10/12/2010,7.6255,7.8475,7.57,7.824,7.824,105616000
10/13/2010,7.8345,7.8395,7.6925,7.7585,7.7585,112656000
10/14/2010,7.758,7.8475,7.7115,7.7765,7.7765,80482000
10/15/2010,7.921,8.244,7.8375,8.232,8.232,202710000
10/18/2010,8.25,8.2595,8.091,8.178,8.178,126626000
10/19/2010,8.034,8.14,7.85,7.9335,7.9335,150500000
